Shipment_ID,Order_ID,Customer_Name,Source_City,Destination_City,Shipment_Date,Delivery_Date,Transport_Mode,Weight_kg,Distance_km,Vendor,Cost,Selling_Price,Delivery_Status,Damage_Flag,Delivery_Time_Days,Return_Reason,Driver_Rating,Vehicle_Type,Fuel_Consumption_Litres
10001,12270,Aisha,Kolkata,Hyderabad,2022-11-29,2022-12-10,Road,25.0,100.0,,,1200.0,In Transit,0.0,3.0,Wrong Item,0.0,Mini Van,30.0
10002,5860,,Kolkata,,2021-02-02,2022-02-01,Road,15.0,200.0,,1500.0,300.0,Cancelled,0.0,2.0,Late,3.0,,30.0
10003,10390,,Kolkata,Bangalore,2023-05-01,2022-12-24,Unknown,15.0,50.0,Unknown,1500.0,,In Transit,,8.0,Late,,Bike,25.0
10004,10191,NULL,Hyderabad,Delhi,2022-09-01,2022-09-20,Sea,30.0,200.0,Unknown,800.0,0.0,Delivered,,1.0,Late,,Bike,10.0
10005,10734,NaN,Unknown,Bangalore,2022-10-29,2022-02-11,,5.0,400.0,DHL,0.0,1600.0,,,,NaN,4.0,,30.0
10006,11265,Vikram,Chennai,Pune,2023-06-07,2022-08-16,,,100.0,ABC Logistics,1500.0,1600.0,,,8.0,NULL,4.0,Mini Van,15.0
10007,5466,Aisha,Mumbai,Unknown,2023-01-03,2021-07-16,Unknown,15.0,50.0,Gati,500.0,0.0,Delayed,1.0,5.0,,1.0,Truck,15.0
10008,9426,NaN,Unknown,,2022-01-25,2022-09-11,Sea,25.0,200.0,FedEx,0.0,2000.0,Returned,0.0,9.0,NaN,0.0,Mini Van,20.0
10009,10578,Ram,Kolkata,Pune,2022-08-26,2021-10-03,,,300.0,FedEx,800.0,700.0,In Transit,1.0,9.0,NULL,3.0,Unknown,20.0
10010,13322,NaN,Unknown,Delhi,2022-10-16,2021-02-16,Rail,,,DHL,200.0,,Delayed,0.0,4.0,NULL,4.0,Bike,15.0
10011,6685,Ram,Bangalore,Mumbai,2022-07-30,2021-03-21,Unknown,-5.0,50.0,ABC Logistics,,300.0,Returned,,1.0,Damaged,,Bike,15.0
10012,5769,Vikram,Pune,Mumbai,2021-07-19,2021-11-20,Air,5.0,50.0,Unknown,1000.0,0.0,Cancelled,1.0,5.0,Late,1.0,Unknown,10.0
10013,11949,Aisha,Pune,Unknown,2023-06-17,2022-05-19,Sea,15.0,50.0,Unknown,,0.0,In Transit,0.0,7.0,Late,5.0,Unknown,30.0
10014,7433,Aisha,Mumbai,Coimbatore,2021-08-08,2022-06-03,Unknown,-5.0,200.0,Gati,800.0,300.0,,,9.0,Wrong Item,,,10.0
10015,10311,Sita,Mumbai,Unknown,2023-01-20,2023-02-05,Road,0.0,150.0,BlueDart,0.0,2000.0,In Transit,0.0,10.0,Late,4.0,Mini Van,20.0
10016,10051,,Chennai,Unknown,2022-12-14,2021-02-13,,10.0,-20.0,Unknown,800.0,2000.0,,0.0,9.0,NULL,,Truck,20.0
